Round,Condition,Block_Number,Incentive_Type,Incentive_Recipient,Player_A_Choice,Player_B_Choice,Player_C_Choice,Player_A_White_Tokens,Player_A_Black_Tokens,Player_A_Round_Earnings,Player_A_Total_Payout,Player_B_White_Tokens,Player_B_Black_Tokens,Player_B_Round_Earnings,Player_B_Total_Payout,Player_C_White_Tokens,Player_C_Black_Tokens,Player_C_Round_Earnings,Player_C_Total_Payout,Culturant_Produced,White_Tokens_Remaining,Timestamp
170,High Culturant,9,Impulse Incentive,AI Player 1,ODD,EVEN,EVEN,342,24,0.06,7.72,334,24,0.02,7.74,332,24,0.02,7.70,No,242,2026-02-11T03:55:09.705Z
171,High Operant,9,Self Control Incentive,AI Player 2,ODD,ODD,EVEN,345,24,0.09,7.81,337,24,0.09,7.83,333,24,0.03,7.73,No,235,2026-02-11T03:55:23.696Z
172,Equal Culturant-Operant,9,Self Control Incentive,AI Player 2,ODD,EVEN,ODD,348,24,0.03,7.84,338,24,0.01,7.84,336,24,0.03,7.76,No,228,2026-02-11T03:55:37.692Z
173,Equal Culturant-Operant,9,Impulse Incentive,AI Player 1,ODD,ODD,EVEN,351,24,0.03,7.87,341,24,0.03,7.87,337,24,0.01,7.77,No,221,2026-02-11T03:55:51.554Z
174,High Culturant,9,Impulse Incentive,AI Player 3,EVEN,ODD,EVEN,352,24,0.02,7.89,344,24,0.06,7.93,338,24,0.02,7.79,No,216,2026-02-11T03:56:03.431Z
175,High Operant,9,Impulse Incentive,AI Player 2,ODD,EVEN,ODD,355,24,0.09,7.98,345,24,0.03,7.96,341,24,0.09,7.88,No,209,2026-02-11T03:56:16.168Z
176,High Culturant,9,Self Control Incentive,AI Player 3,ODD,EVEN,EVEN,358,24,0.06,8.04,346,24,0.02,7.98,342,24,0.02,7.90,No,204,2026-02-11T03:56:28.223Z
177,Equal Culturant-Operant,9,Self Control Incentive,AI Player 3,EVEN,ODD,ODD,359,24,0.01,8.05,349,24,0.03,8.01,345,24,0.03,7.93,No,197,2026-02-11T03:56:40.285Z
178,High Operant,9,Impulse Incentive,AI Player 1,ODD,ODD,EVEN,362,24,0.09,8.14,352,24,0.09,8.10,346,24,0.03,7.96,No,190,2026-02-11T03:56:53.042Z
179,High Culturant,9,Self Control Incentive,AI Player 2,EVEN,EVEN,ODD,363,24,0.02,8.16,353,24,0.02,8.12,349,24,0.06,8.02,No,185,2026-02-11T03:57:06.284Z
180,Equal Culturant-Operant,9,Impulse Incentive,AI Player 2,ODD,ODD,ODD,366,24,0.03,8.19,356,24,0.03,8.15,352,24,0.03,8.05,No,176,2026-02-11T03:57:18.967Z
181,Equal Culturant-Operant,9,None,None,ODD,EVEN,ODD,369,24,0.03,8.22,357,24,0.01,8.16,355,24,0.03,8.08,No,169,2026-02-11T03:57:33.709Z
182,Equal Culturant-Operant,9,Impulse Incentive,AI Player 3,EVEN,EVEN,EVEN,370,25,0.03,8.25,358,25,0.03,8.19,356,25,0.03,8.11,Yes,166,2026-02-11T03:57:46.167Z
183,Equal Culturant-Operant,9,Self Control Incentive,AI Player 1,ODD,ODD,EVEN,373,25,0.03,8.28,361,25,0.03,8.22,357,25,0.01,8.12,No,159,2026-02-11T03:57:58.502Z
184,High Culturant,9,Self Control Incentive,AI Player 1,EVEN,EVEN,ODD,374,25,0.02,8.30,362,25,0.02,8.24,360,25,0.06,8.18,No,154,2026-02-11T03:58:11.823Z
185,High Operant,9,Self Control Incentive,AI Player 1,EVEN,ODD,EVEN,375,25,0.03,8.33,365,25,0.09,8.33,361,25,0.03,8.21,No,149,2026-02-11T03:58:25.753Z
186,High Culturant,9,None,None,ODD,ODD,EVEN,378,25,0.06,8.39,368,25,0.06,8.39,362,25,0.02,8.23,No,142,2026-02-11T03:58:39.554Z
187,High Operant,9,None,None,EVEN,EVEN,ODD,379,25,0.03,8.42,369,25,0.03,8.42,365,25,0.09,8.32,No,137,2026-02-11T03:58:52.964Z
188,High Operant,9,Self Control Incentive,AI Player 3,EVEN,ODD,ODD,380,25,0.03,8.45,372,25,0.09,8.51,368,25,0.09,8.41,No,130,2026-02-11T03:59:06.183Z
189,High Operant,9,Impulse Incentive,AI Player 3,EVEN,ODD,EVEN,381,25,0.03,8.48,375,25,0.09,8.60,369,25,0.03,8.44,No,125,2026-02-11T03:59:19.803Z
